"participant","lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","c_0001","c_0002","consent","gender","age","normQ","Nrm_el","InJu1","Int_Rsn","hrm_st","nrm_st","InCf1","InRem1","InSWr1","InAR1","InRem2","InSWr2","InAR2","InRem3","InSWr3","InAR3","InCS","InStR","string_coded","critical_slide_wrong","Dumb_incl_string","InJu2","InChM","InCf2","cogR","cogMch","Hrm_rel","Hrm_oth","hrm_Qs","InIrr","InCu","InRsn2","InGut","pot_hrm","box","rugb","NFC1","NFC2","NFC3","NFC4","NFC5","NFC6","NFC7","NFC8","NFC9","NFC10","NFC11","NFC12","NFC13","NFC14","NFC15","NFC16","NFC17","NFC18","ethics","ethStR","Prv_in","Prv_in_S","quota","quota_assignment","page_history","hflip","vflip","output_mode","javascript","flash","session_id","language","cleaned","ats","datetime","date_of_last_access","date_of_first_mail","condition","Ju1_bin","Ju2_bin","wrong1","wrong2","NFC3R","NFC4R","NFC5R","NFC7R","NFC8R","NFC9R","NFC12R","NFC16R","NFC17R","NFC_tot","NFC","pot_hrm_bin","all_harm","all_harm_norm","nrm_all","Roz_fully_C","cog_M_ch_bin","cog_Rb","cog_right_logic","cog_right","cog_number_right","j1","j2","j3","j4","j5","j6","ch1","ch2","ch3","ch4","ch5","Rch1","Rch2","Rs_changed","Rs_changed_tot","changed","changed_tot","rs1","rs2","rs3","rs4","rs5","rs6","rs1_bin","rs2_bin","rs3_bin","reason_always","Dumb_response","right_change","wrong1b","wrong2b"
50,15,0,"no tester","Completed (31)","2065102                     ",NA,2880,NA,NA,"Yes","Female",18,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",1,"Firstly, it's incest. Secondly, even if the girl did end up pregnant, the child may be dis formed and will be snubbed by society.                                                                                                                             ","harm mentioned","norms mentioned",6,"Yes","Yes","Unsure","No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","If anyone found out they would be viewed differently and it's not morally right to have sex with a sibling.                                                                                                                                                   ","reason",NA,"It's wrong and I can provide a valid reason.",1,"1: Not at all",6,NA,NA,"No, I am not able to believe this","No, I am not able to believe this","harm","5","6","6","7: Extremely",4,"Yes","No",6,7,2,2,6,4,5,2,5,6,7,4,6,5,7,8,6,9,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2065053,2065054,2065055,2065056,2065057,2065058,2065059,2065061,2065098,2065062,2065063,2065064,2065065,2065066,2065069,2065070,2065071,2065072,2065073,2065074,2065075,2065076,2065077,2065078,2065079,2065080,2065081,2065082,2065083,2065084,2065087,206508","Flipped","Flipped","HTML",NA,NA,"7f587cb1e7738fa666d791d5a385de63                                                                                                ","English","Not cleaned",1488191130,"2017-02-27 10:25:30           ","2017-02-27 11:13:30           ","0000-00-00 00:00:00           ","control","wrong","wrong","wrong","wrong",8,8,4,5,8,5,6,2,4,107,0.944444444444445,"neutral","true","true","true","false","missing",NA,NA,"missing",0,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1,FALSE,0,"unstated","unstated","reason","reason","reason","unstated","no reason","reason","reason",FALSE,"reasons","reasons","wrong","wrong"
51,27,0,"no tester","Completed (31)","2065102                     ",NA,1301,NA,NA,"Yes","Female",20,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","they shouldn't be violated even if it is just for fun, shouldn't be getting enjoyed out of doing whats wrong                                                                                                                                                  ",1,"they shouldn't be together because they are blood related                                                                                                                                                                                                     ","no harm mentioned","norms mentioned",6,"No","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","they are brother and sister and should not have that type of relationship. Nobody was hurt from their actions but it is still wrong.                                                                                                                          ","unsupported declaration + tautological reason","changed","It's wrong but I can't think of a reason.",1,"2",4,NA,NA,"Yes, I am able to believe this","No, I am not able to believe this","harm","4: neutral","6","6","7: Extremely",3,"No","No",2,4,6,5,8,5,6,7,6,5,5,6,4,5,5,7,4,4,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2065053,2065054,2065055,2065056,2065057,2065058,2065059,2065060,2065061,2065062,2065063,2065064,2065065,2065066,2065069,2065070,2065071,2065072,2065073,2065074,2065075,2065076,2065077,2065078,2065079,2065080,2065081,2065082,2065083,2065084,2065087,206508","Not flipped","Flipped","HTML",NA,NA,"609f6b2cf411c5e5394e6997cf2c363f                                                                                                ","English","Not cleaned",1488209271,"2017-02-27 15:27:51           ","2017-02-27 15:49:32           ","0000-00-00 00:00:00           ","control","wrong","wrong","wrong","wrong",4,5,2,4,3,4,4,3,6,74,-0.888888888888889,"wrong","true","false","false","false","missing",NA,NA,"missing",0,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"unsupported declaration","reasons","wrong","wrong"
52,28,0,"no tester","Completed (31)","2065102                     ",NA,3378,NA,NA,"Yes","Male",20,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",1,"Incest.                                                                                                                                                                                                                                                       ","no harm mentioned","norms mentioned",7,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","Both forms of contraception could potentially fail, leaving the possibility of them having a child together open. Possible health complications could arise out of this for their unborn child.                                                               ","reason",NA,"It's wrong and I can provide a valid reason.",1,"1: Not at all",7,NA,NA,"No, I am not able to believe this","No, I am not able to believe this","harm","7: Extremely Irritated","4: neutral","7: Extremely","4: neutral",2,"No","No",2,2,8,3,5,2,7,5,4,1,2,9,3,2,2,4,7,2,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2065053,2065054,2065055,2065056,2065057,2065058,2065059,2065061,2065098,2065062,2065063,2065064,2065065,2065066,2065069,2065070,2065071,2065072,2065073,2065074,2065075,2065076,2065077,2065078,2065079,2065080,2065081,2065082,2065083,2065084,2065087,206508","Not flipped","Flipped","HTML",NA,NA,"58e205ede483131b8f32fdee0d063edc                                                                                                ","English","Not cleaned",1488210603,"2017-02-27 15:50:03           ","2017-02-27 16:46:21           ","0000-00-00 00:00:00           ","control","wrong","wrong","wrong","wrong",2,7,5,3,5,6,1,6,3,56,-1.88888888888889,"wrong","true","true","true","false","missing",NA,NA,"missing",0,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"reasons","reasons","wrong","wrong"
53,33,0,"no tester","Completed (31)","2065102                     ",NA,874,NA,NA,"Yes","Female",37,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",1,"I don't believe that brother and sister should sleep together ever.                                                                                                                                                                                           ","no harm mentioned","norms not mentioned",6,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","No, I have no reason","It's wrong and I can provide a valid reason.","Secrets always come out and how would their family feel if they ever found out parents brothers sisters everyone that is close to them                                                                                                                        ","reason",NA,"It's wrong and I can provide a valid reason.",6,"5",5,NA,NA,"No, I am not able to believe this","No, I am not able to believe this","harm","2","1: Not at all","5","6",4,"No","No",4,5,5,5,7,5,8,3,8,7,7,1,1,2,5,2,2,7,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2065053,2065054,2065055,2065056,2065057,2065058,2065059,2065059,2065061,2065098,2065059,2065061,2065098,2065062,2065063,2065064,2065065,2065066,2065069,2065070,2065071,2065072,2065073,2065074,2065075,2065076,2065077,2065078,2065079,2065079,2065079,206508","Flipped","Flipped","HTML",NA,NA,"83acc8d9fd0d22120abfc407e9d136b1                                                                                                ","English","Not cleaned",1488229042,"2017-02-27 20:57:22           ","2017-02-27 21:11:56           ","0000-00-00 00:00:00           ","control","wrong","right","wrong","not wrong",5,5,3,2,7,2,9,8,8,92,0.111111111111111,"neutral","true","true","true","false","missing",NA,NA,"missing",0,"wrong","wrong","wrong","wrong","wrong","not wrong",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,1,TRUE,1,"unstated","reason","reason","no reason","reason","unstated","reason","reason","no reason",FALSE,"reasons","reasons","wrong","not wrong"
54,38,0,"no tester","Suspended (22)","2065101                     ",NA,899,NA,NA,"Yes","Female",44,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","It is not right to make fun of anyone be it for fun or any reason...                                                                                                                                                                                          ",1,"I'm sorry I just don't agree with incest and especially when they both decided to do it just for fun & to see what it was like...                                                                                                                             ","no harm mentioned","norms mentioned",7,"Yes","Yes","No, I have no reason","No","Yes","No, I have no reason","No","Yes","No, I have no reason","It's wrong and I can provide a valid reason.","its just not morally right for siblings to have sex for whatever reason they said that night.                                                                                                                                                                 ","unsupported declaration","changed","It's wrong but I can't think of a reason.",1,"1: Not at all",7,NA,NA,"No, I am not able to believe this","No, I am not able to believe this","harm","7: Extremely Irritated","1: Not at all","1: Not at all","7: Extremely",1,"No","No",4,8,1,1,1,1,1,3,3,1,4,4,4,4,4,4,4,4,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2065053,2065054,2065055,2065056,2065057,2065058,2065059,2065060,2065061,2065062,2065063,2065064,2065065,2065066,2065069,2065070,2065071,2065072,2065073,2065074,2065075,2065076,2065077,2065078,2065079,2065080,2065081,2065082,2065083,2065084,2065087,206508","Flipped","Not flipped","HTML",NA,NA,"a352e576122b684f5e76c7296d7e2aa8                                                                                                ","English","Not cleaned",1488230815,"2017-02-27 21:26:55           ","2017-02-27 21:41:58           ","0000-00-00 00:00:00           ","control","wrong","wrong","wrong","wrong",9,9,9,9,7,7,6,6,6,102,0.666666666666667,"wrong","true","false","false","false","missing",NA,NA,"missing",0,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","no reason","no reason","no reason","reason","unstated","no reason","no reason","no reason",FALSE,"unsupported declaration","reasons","wrong","wrong"
55,40,0,"no tester","Completed (31)","2065102                     ",NA,670,NA,NA,"Yes","Female",37,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",1,"Its just not right.                                                                                                                                                                                                                                           ","no harm mentioned","norms not mentioned",5,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","They r related. thats wrong.                                                                                                                                                                                                                                  ","unsupported declaration + tautological reason","changed","It's wrong but I can't think of a reason.",1,"1: Not at all",7,NA,NA,"No, I am not able to believe this","No, I am not able to believe this","harm","4: neutral","1: Not at all","4: neutral","5",3,"Yes","No",6,6,5,6,6,4,6,7,7,4,6,6,4,4,4,6,6,4,"Yes","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2065053,2065054,2065055,2065056,2065057,2065058,2065058,2065059,2065061,2065098,2065098,2065098,2065062,2065063,2065064,2065065,2065066,2065069,2065070,2065071,2065072,2065073,2065074,2065075,2065076,2065077,2065078,2065079,2065080,2065081,2065082,206508","Not flipped","Not flipped","HTML",NA,NA,"1452bc8de6a173e435b0dc198dead7c2                                                                                                ","English","Not cleaned",1488230887,"2017-02-27 21:28:07           ","2017-02-27 21:39:17           ","0000-00-00 00:00:00           ","control","wrong","wrong","wrong","wrong",5,4,4,4,3,3,4,4,4,77,-0.722222222222222,"wrong","true","true","true","false","missing",NA,NA,"missing",0,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"unsupported declaration","reasons","wrong","wrong"
56,42,0,"no tester","Suspended (22)","2065082                     ",NA,503,NA,NA,"Yes","Female",32,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",1,"It's just wrong                                                                                                                                                                                                                                               ","no harm mentioned","norms not mentioned",4,"No","Yes","Yes, I have a reason","Yes","Yes","No, I have no reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","Although no one has been directly  hurt  this action may bring much upset to their family.                                                                                                                                                                    ","reason",NA,"It's wrong and I can provide a valid reason.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,3,1,5,5,3,9,1,2,5,5,1,1,2,NA,"-66                                                                                                                                                                                                                                                           ",NA,"-66                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2065053,2065054,2065055,2065056,2065057,2065058,2065059,2065061,2065098,2065062,2065063,2065064,2065065,2065066,2065069,2065070,2065071,2065072,2065073,2065074,2065075,2065076,2065077,2065078,2065079,2065080,2065081,2065082                               ","Not flipped","Flipped","HTML",NA,NA,"a80a9f6fea7e00fec9188eecf6fef225                                                                                                ","English","Not cleaned",1488233966,"2017-02-27 22:19:26           ","2017-02-27 22:30:06           ","0000-00-00 00:00:00           ","control","wrong","wrong","wrong","wrong",8,9,9,9,5,5,9,9,9,105,0.833333333333333,NA,"missing","missing","true","missing","missing",NA,NA,"missing",0,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2,FALSE,0,"unstated","reason","no reason","reason","reason","unstated","reason","no reason","reason",FALSE,"reasons","reasons","wrong","wrong"
57,46,0,"no tester","Completed (31)","2065102                     ",NA,2109,NA,NA,"Yes","Female",22,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",2,"It is not the fact that they decided to 'make love' that is the issue, to each their own, it is the potential harm it could cause them in the future especially if pregnancy occurred. 'inbreeding' can have huge side effects for babies both mentally and ph","harm mentioned","norms mentioned",6,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","It could have an effect on their personal relationship as brother and sister. As well as that, it could effect the family dynamic as a whole. Also, even though they used two forms of contraception, you cannot one hundred percent guarantee that pregnancy ","reason",NA,"It's wrong and I can provide a valid reason.",3,"2",5,NA,NA,"No, I am not able to believe this","No, I am not able to believe this","harm","4: neutral","5","3","5",4,"No","No",4,6,3,5,3,4,5,7,6,5,6,3,4,3,4,5,4,9,"Yes","In college we had an elective on Ethics for one semester                                                                                                                                                                                                      ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2065053,2065054,2065055,2065056,2065057,2065058,2065059,2065061,2065062,2065063,2065064,2065065,2065066,2065069,2065070,2065071,2065072,2065073,2065074,2065075,2065076,2065077,2065078,2065079,2065080,2065081,2065082,2065083,2065084,2065087,2065088,206508","Not flipped","Flipped","HTML",NA,NA,"a3753de1ec4d62ca03cee5bbecabbf52                                                                                                ","English","Not cleaned",1488275700,"2017-02-28 09:55:00           ","2017-02-28 10:30:09           ","0000-00-00 00:00:00           ","control","wrong","wrong","wrong","wrong",7,5,7,5,3,4,7,5,6,94,0.222222222222222,"neutral","true","true","true","false","missing",NA,NA,"missing",0,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"reasons","reasons","wrong","wrong"
58,49,0,"no tester","Completed (31)","2065102                     ",NA,7273,NA,NA,"Yes","Female",21,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","If it an established moral norm in society, then it should not be violated regardless of the dangers involved. There would be implications for yourself, even if it doesn't affect others.                                                                    ",4,"Obviously Julie and Mark are not harming anybody else by making love to each other, however it does go against a certain established norm in society. It has had a positive implication on their relationship though, despite going against the 'said' morals ","no harm mentioned","norms mentioned",5,"Yes","Yes","Unsure","Yes","Yes","Unsure","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","It could have a snowball effect on society whereby if it became a regular occurrence, the established norm relating to incest would change, leading to some drastic problems (issues around the family, reproduction problems etc.) Even though it harmed no o","reason",NA,"It's wrong and I can provide a valid reason.",2,"2",5,NA,NA,"No, I am not able to believe this","No, I am not able to believe this","harm","4: neutral","5","3","7: Extremely",4,"Yes","No",6,5,4,3,4,5,4,5,4,6,5,5,5,6,6,4,5,6,"Yes","Around the area of Ethics, Religions and Beliefs.                                                                                                                                                                                                             ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2065053,2065054,2065055,2065056,2065057,2065058,2065059,2065060,2065061,2065062,2065063,2065064,2065065,2065066,2065069,2065070,2065071,2065072,2065073,2065074,2065075,2065076,2065077,2065078,2065079,2065080,2065081,2065082,2065083,2065084,2065087,206508","Not flipped","Not flipped","HTML",NA,NA,"7eb2eaf4124fcb27e7054cc6281abe98                                                                                                ","English","Not cleaned",1488277864,"2017-02-28 10:31:04           ","2017-02-28 12:32:17           ","0000-00-00 00:00:00           ","control","neutral","wrong","not wrong","wrong",6,7,6,6,5,6,5,6,5,102,0.666666666666667,"neutral","true","false","false","false","missing",NA,NA,"missing",0,"not wrong","wrong","wrong","wrong","wrong","wrong",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,TRUE,1,"unstated","unstated","unstated","reason","reason","unstated","no reason","no reason","reason",FALSE,"reasons","reasons",NA,"wrong"
59,50,0,"no tester","Completed (31)","2065102                     ",NA,8619,NA,NA,"Yes","Male",20,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",1,"Shameful and disrespectful to their family.                                                                                                                                                                                                                   ","harm mentioned","norms not mentioned",3,"Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","First of all, I believe they needed more time to think and learn about previous experiences that are similar to this. Their youth and inexperience and naivety may also be another important factor.                                                          ","reason",NA,"It's wrong and I can provide a valid reason.",1,"1: Not at all",5,NA,NA,"No, I am not able to believe this","No, I am not able to believe this","harm","5","5","3","6",5,"No","No",4,7,3,3,6,7,7,2,7,7,7,3,8,8,9,5,3,8,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2065053,2065054,2065055,2065056,2065057,2065058,2065059,2065061,2065062,2065063,2065064,2065065,2065066,2065069,2065070,2065071,2065072,2065073,2065074,2065075,2065076,2065077,2065078,2065079,2065080,2065081,2065082,2065083,2065084,2065087,2065088,206508","Flipped","Not flipped","HTML",NA,NA,"4fed36e8c64da64bd8f9247e5550d8cd                                                                                                ","English","Not cleaned",1488277879,"2017-02-28 10:31:19           ","2017-02-28 12:54:58           ","0000-00-00 00:00:00           ","control","wrong","wrong","wrong","wrong",7,7,4,3,8,3,7,5,7,116,1.44444444444444,"right","true","true","true","false","missing",NA,NA,"missing",0,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"reasons","reasons","wrong","wrong"
60,52,0,"no tester","Completed (31)","2065102                     ",NA,3829,NA,NA,"Yes","Female",23,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","A norm is a self built belief system. To be socially deviant in any circumstance is to go against the socially acceptable norms which one generated and that are expected from other non - deviant others.                                                    ",2,"Knowingly keeping it a secret signifies their attitude towards the act. If there was no shame and if it was morally justifiable to engage in a sexual act with a sibling then this wouldnt  have to remain a secret.    As well as personally it isnt looked a","harm mentioned","norms mentioned",7,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","Although the numerous options provided for me to change my mind were influencing I still hold onto the moral fibre of my initial justification. For them to mutually consent has been considered and while their actions inflict no harm onto anyone else thei","reason",NA,"It's wrong and I can provide a valid reason.",2,"1: Not at all",7,NA,NA,"No, I am not able to believe this","Yes, I am able to believe this","harm","2","5","6","2",1,"No","No",8,9,1,2,1,8,1,1,2,9,9,1,2,9,9,2,2,2,"Yes","Psychology of Cognition ( morals and thought processes)   Ethics and Religious Beliefs  Sociology                                                                                                                                                             ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2065053,2065054,2065055,2065056,2065057,2065058,2065059,2065060,2065061,2065098,2065062,2065063,2065064,2065065,2065066,2065069,2065070,2065071,2065072,2065073,2065074,2065075,2065076,2065077,2065078,2065079,2065080,2065081,2065082,2065083,2065084,206508","Flipped","Not flipped","HTML",NA,NA,"f4abcf7e6575b16403c29844e6044e6f                                                                                                ","English","Not cleaned",1488285744,"2017-02-28 12:42:24           ","2017-02-28 13:46:13           ","0000-00-00 00:00:00           ","control","wrong","wrong","wrong","wrong",9,8,9,9,9,8,9,8,8,142,2.88888888888889,"wrong","true","false","false","false","missing",NA,NA,"missing",0,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"reasons","reasons","wrong","wrong"
61,55,0,"no tester","Completed (31)","2065102                     ",NA,2955,NA,NA,"Yes","Female",23,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Violating any moral norm for fun or personal enjoyment is wrong no matter what the situation is. By considering it is as a violation instantly means it is wrong.                                                                                             ",1,"I think it is wrong, not only is it wrong on an incestuous basis, but in relation to their families and parents. It makes me feel uncomfortable even thinking about it. I do however know that it 100% NOT morally right.                                     ","no harm mentioned","norms mentioned",6,"Yes","Yes","Unsure","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","It is wrong on the basis that it is incestuous and nothing will change my opinion on that                                                                                                                                                                     ","unsupported declaration + tautological reason","changed","It's wrong but I can't think of a reason.",1,"1: Not at all",6,NA,NA,"No, I am not able to believe this","Yes, I am able to believe this","harm","7: Extremely Irritated","6","6","6",3,"No","No",4,4,6,7,4,3,3,6,6,6,6,4,4,4,4,6,4,6,"Yes","I am currently undertaking a course on Ethics and Religious Beliefs                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2065053,2065054,2065055,2065056,2065057,2065058,2065059,2065060,2065061,2065062,2065063,2065064,2065065,2065066,2065069,2065070,2065071,2065072,2065073,2065074,2065075,2065076,2065077,2065078,2065079,2065080,2065081,2065082,2065083,2065084,2065087,206508","Not flipped","Flipped","HTML",NA,NA,"9bfab9623d8d1d7fe001bdcc48b7d1c9                                                                                                ","English","Not cleaned",1488286513,"2017-02-28 12:55:13           ","2017-02-28 13:44:28           ","0000-00-00 00:00:00           ","control","wrong","wrong","wrong","wrong",4,3,6,7,4,4,6,4,6,85,-0.277777777777778,"wrong","true","false","false","false","missing",NA,NA,"missing",0,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1,FALSE,0,"unstated","unstated","reason","reason","reason","unstated","no reason","reason","reason",FALSE,"unsupported declaration","reasons","wrong","wrong"
62,56,0,"no tester","Completed (31)","2065102                     ",NA,3326,NA,NA,"Yes","Female",20,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","You should never violate a moral norm even if it is for your enjoyment                                                                                                                                                                                        ",1,"As they are brother and sister they should not take part it this kind of act                                                                                                                                                                                  ","no harm mentioned","norms mentioned",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","They should not have taken part in this act as they are brother and sister. It may affect their mental states as they get older and realize what they have done.                                                                                              ","reason",NA,"It's wrong and I can provide a valid reason.",1,"1: Not at all",7,NA,NA,"No, I am not able to believe this","No, I am not able to believe this","harm","6","6","7: Extremely","6",4,"No","No",7,5,6,5,9,6,2,6,7,7,7,4,3,9,3,9,5,8,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2065053,2065054,2065055,2065056,2065057,2065058,2065059,2065060,2065061,2065062,2065063,2065064,2065065,2065066,2065069,2065070,2065071,2065072,2065073,2065074,2065075,2065076,2065077,2065078,2065079,2065080,2065081,2065082,2065083,2065084,2065087,206508","Flipped","Not flipped","HTML",NA,NA,"d25bd4da9e5d079fb8e36e1804b136fc                                                                                                ","English","Not cleaned",1488289219,"2017-02-28 13:40:19           ","2017-02-28 14:35:45           ","0000-00-00 00:00:00           ","control","wrong","wrong","wrong","wrong",4,5,1,8,4,3,6,1,5,92,0.111111111111111,"neutral","true","false","false","false","missing",NA,NA,"missing",0,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,"reasons","reasons","wrong","wrong"
